gender,age,attendance,study_hours,sleep_hours,social_media_hours,physical_activity,mental_health,internet_quality,motivation_level,parental_education,family_income,part_time_job,previous_scores,exam_score
Male,20.0,99.0,20.0,6.0,2.5,4,5.0,Good,Medium,High School,Medium,No,91.0,70.0
Female,20.0,62.0,24.0,9.0,2.5,2,5.0,Good,Low,College,Low,No,70.0,63.0
Male,20.0,71.0,13.0,7.0,2.5,3,5.0,Good,Medium,College,Medium,No,98.0,64.0
Male,20.0,68.0,18.0,10.0,2.5,3,5.0,Good,High,High School,Low,No,85.0,66.0
Female,20.0,60.0,24.0,5.0,2.5,3,5.0,Good,Medium,Postgraduate,Medium,No,68.0,64.0
Male,20.0,70.0,25.0,7.0,2.5,3,5.0,Good,Medium,College,Medium,No,63.0,69.0
Male,20.0,87.0,18.0,5.0,2.5,4,5.0,Good,Medium,Postgraduate,Medium,No,84.0,71.0
Female,20.0,69.0,20.0,6.0,2.5,2,5.0,Good,Medium,High School,Low,No,65.0,64.0
Male,20.0,80.0,11.0,6.0,2.5,3,5.0,Good,Low,High School,Low,No,96.0,65.0
Female,20.0,96.0,18.0,7.0,2.5,1,5.0,Good,Low,College,Medium,No,56.0,69.0
Female,20.0,88.0,25.0,5.0,2.5,1,5.0,Good,Medium,High School,Medium,No,51.0,68.0
Male,20.0,76.0,23.0,7.0,2.5,4,5.0,Good,Medium,High School,Medium,No,61.0,68.0
Female,20.0,75.0,23.0,8.0,2.5,4,5.0,Good,High,High School,Low,No,80.0,68.0
Male,20.0,78.0,20.0,5.0,2.5,3,5.0,Good,Low,High School,Medium,No,92.0,65.0
Female,20.0,67.0,20.0,6.0,2.5,4,5.0,Good,Low,College,Medium,No,59.0,65.0
Male,20.0,85.0,16.0,10.0,2.5,3,5.0,Good,Low,College,High,No,79.0,66.0
Male,20.0,75.0,24.0,7.0,2.5,1,5.0,Good,Medium,Postgraduate,Medium,No,57.0,66.0
Male,20.0,94.0,23.0,4.0,2.5,4,5.0,Good,Medium,High School,High,No,78.0,71.0
Male,20.0,90.0,23.0,5.0,2.5,1,5.0,Good,Medium,High School,Low,No,51.0,68.0
Female,20.0,84.0,17.0,7.0,2.5,5,5.0,Good,Low,College,High,No,78.0,65.0
Female,20.0,75.0,7.0,7.0,2.5,4,5.0,Good,Medium,College,Medium,No,76.0,63.0
Female,20.0,68.0,27.0,6.0,2.5,5,5.0,Good,Medium,Postgraduate,Medium,No,52.0,66.0
Male,20.0,91.0,17.0,10.0,2.5,4,5.0,Good,Medium,College,Low,No,84.0,71.0
Male,20.0,79.0,15.0,10.0,2.5,4,5.0,Good,Medium,College,Low,No,79.0,65.0
Female,20.0,69.0,24.0,7.0,2.5,4,5.0,Good,Low,High School,Medium,No,81.0,68.0
Male,20.0,68.0,18.0,8.0,2.5,3,5.0,Good,High,Postgraduate,High,No,76.0,66.0
Female,20.0,67.0,26.0,8.0,2.5,2,5.0,Good,Medium,High School,Low,No,86.0,64.0
Female,20.0,91.0,24.0,9.0,2.5,4,5.0,Good,High,College,Low,No,76.0,70.0
Male,20.0,69.0,24.0,6.0,2.5,4,5.0,Good,Medium,College,High,No,96.0,70.0
Female,20.0,81.0,12.0,10.0,2.5,5,5.0,Good,Low,High School,Low,No,97.0,66.0
Female,20.0,78.0,27.0,7.0,2.5,2,5.0,Good,Medium,High School,Medium,No,86.0,70.0
Female,20.0,83.0,22.0,8.0,2.5,0,5.0,Good,Medium,College,Medium,No,96.0,71.0
Male,20.0,95.0,18.0,7.0,2.5,4,5.0,Good,Medium,High School,Medium,No,96.0,70.0
Male,20.0,95.0,21.0,7.0,2.5,4,5.0,Good,Medium,Postgraduate,Low,No,63.0,70.0
Male,20.0,78.0,9.0,7.0,2.5,2,5.0,Good,Low,High School,Medium,No,100.0,66.0
Male,20.0,61.0,22.0,5.0,2.5,3,5.0,Good,Low,Postgraduate,Low,No,63.0,64.0
Male,20.0,77.0,14.0,4.0,2.5,3,5.0,Good,Low,College,Low,No,51.0,66.0
Female,20.0,84.0,12.0,7.0,2.5,3,5.0,Good,High,High School,Low,No,98.0,68.0
Female,20.0,82.0,11.0,6.0,2.5,2,5.0,Good,Low,High School,Medium,No,61.0,61.0
Male,20.0,86.0,27.0,8.0,2.5,4,5.0,Good,Medium,College,Low,No,79.0,72.0
Male,20.0,66.0,16.0,8.0,2.5,3,5.0,Good,Medium,High School,Low,No,99.0,66.0
Female,20.0,86.0,29.0,7.0,2.5,3,5.0,Good,Medium,College,Low,No,52.0,68.0
Male,20.0,67.0,17.0,9.0,2.5,4,5.0,Good,High,College,Low,No,63.0,61.0
Female,20.0,90.0,10.0,7.0,2.5,5,5.0,Good,Low,High School,Medium,No,80.0,67.0
Female,20.0,74.0,13.0,5.0,2.5,3,5.0,Good,Low,College,Low,No,88.0,66.0
Female,20.0,88.0,27.0,7.0,2.5,4,5.0,Good,Medium,Postgraduate,Medium,No,90.0,74.0
Female,20.0,62.0,19.0,9.0,2.5,4,5.0,Good,Medium,Postgraduate,High,No,94.0,66.0
Female,20.0,76.0,17.0,4.0,2.5,2,5.0,Good,Medium,Postgraduate,Medium,No,58.0,67.0
Male,20.0,88.0,21.0,7.0,2.5,3,5.0,Good,Medium,College,Medium,No,69.0,71.0
Male,20.0,69.0,23.0,8.0,2.5,4,5.0,Good,High,College,Medium,No,86.0,66.0
Male,20.0,92.0,27.0,10.0,2.5,3,5.0,Good,High,High School,Low,No,86.0,71.0
Male,20.0,85.0,29.0,9.0,2.5,4,5.0,Good,High,Postgraduate,Low,No,65.0,72.0
Female,20.0,84.0,18.0,7.0,2.5,3,5.0,Good,Medium,High School,Medium,No,65.0,66.0
Male,20.0,74.0,12.0,8.0,2.5,2,5.0,Good,Low,High School,Low,No,66.0,62.0
Female,20.0,79.0,18.0,4.0,2.5,2,5.0,Good,Low,High School,Low,No,95.0,66.0
Male,20.0,84.0,22.0,5.0,2.5,3,5.0,Good,Medium,High School,Low,No,95.0,69.0
Male,20.0,79.0,14.0,8.0,2.5,4,5.0,Good,Medium,High School,Medium,No,51.0,64.0
Female,20.0,88.0,14.0,7.0,2.5,3,5.0,Good,Medium,High School,Medium,No,66.0,69.0
Male,20.0,77.0,22.0,7.0,2.5,4,5.0,Good,Medium,Postgraduate,Medium,No,70.0,69.0
Female,20.0,68.0,20.0,7.0,2.5,2,5.0,Good,High,College,Low,No,99.0,64.0
Female,20.0,69.0,20.0,7.0,2.5,3,5.0,Good,Medium,College,Medium,No,97.0,68.0
Male,20.0,60.0,15.0,7.0,2.5,2,5.0,Good,Low,High School,Low,No,81.0,63.0
Male,20.0,72.0,19.0,5.0,2.5,2,5.0,Good,Low,High School,Low,No,52.0,64.0
Male,20.0,90.0,14.0,7.0,2.5,4,5.0,Good,Medium,Postgraduate,Medium,No,60.0,69.0
Female,20.0,92.0,25.0,5.0,2.5,4,5.0,Good,Medium,High School,Medium,No,72.0,71.0
Female,20.0,68.0,26.0,6.0,2.5,3,5.0,Good,Low,College,Medium,No,98.0,67.0
Male,20.0,98.0,9.0,9.0,2.5,2,5.0,Good,Low,High School,Low,No,55.0,67.0
Female,20.0,80.0,14.0,7.0,2.5,2,5.0,Good,High,College,Low,No,90.0,66.0
Male,20.0,97.0,11.0,8.0,2.5,3,5.0,Good,Medium,High School,Medium,No,60.0,67.0
Female,20.0,88.0,16.0,7.0,2.5,4,5.0,Good,Low,Postgraduate,Medium,No,75.0,68.0
Female,20.0,89.0,19.0,6.0,2.5,2,5.0,Good,Low,High School,Medium,No,88.0,69.0
Female,20.0,63.0,11.0,5.0,2.5,4,5.0,Good,High,High School,Low,No,85.0,62.0
Female,20.0,69.0,14.0,6.0,2.5,5,5.0,Good,High,High School,High,No,89.0,66.0
Male,20.0,60.0,14.0,7.0,2.5,3,5.0,Good,Medium,Postgraduate,Low,No,91.0,63.0
Female,20.0,89.0,21.0,8.0,2.5,3,5.0,Good,Medium,College,Low,No,65.0,67.0
Male,20.0,74.0,20.0,7.0,2.5,4,5.0,Good,High,High School,Medium,No,68.0,68.0
Female,20.0,91.0,16.0,8.0,2.5,2,5.0,Good,Low,High School,Medium,No,91.0,66.0
Male,20.0,74.0,21.0,5.0,2.5,1,5.0,Good,Medium,High School,Medium,No,52.0,66.0
Female,20.0,93.0,17.0,8.0,2.5,3,5.0,Good,Low,High School,Low,No,76.0,67.0
Female,20.0,65.0,18.0,5.0,2.5,2,5.0,Good,Medium,High School,High,No,96.0,66.0
Female,20.0,67.0,30.0,8.0,2.5,2,5.0,Good,Medium,College,Medium,No,94.0,69.0
Male,20.0,74.0,28.0,8.0,2.5,3,5.0,Good,High,Postgraduate,Medium,No,90.0,72.0
Female,20.0,76.0,12.0,4.0,2.5,1,5.0,Good,Medium,High School,Low,No,51.0,60.0
Female,20.0,74.0,25.0,8.0,2.5,4,5.0,Good,High,High School,Low,No,94.0,68.0
Female,20.0,91.0,25.0,8.0,2.5,3,5.0,Good,Medium,High School,Medium,No,96.0,72.0
Male,20.0,64.0,13.0,9.0,2.5,4,5.0,Good,Low,High School,High,No,83.0,64.0
Male,20.0,74.0,25.0,6.0,2.5,1,5.0,Good,High,High School,High,No,65.0,65.0
Male,20.0,93.0,29.0,7.0,2.5,3,5.0,Good,Medium,High School,Medium,No,74.0,76.0
Male,20.0,63.0,13.0,8.0,2.5,2,5.0,Good,Medium,High School,Low,No,88.0,59.0
Male,20.0,98.0,14.0,8.0,2.5,4,5.0,Good,Low,High School,Low,No,91.0,67.0
Male,20.0,99.0,26.0,8.0,2.5,4,5.0,Good,Medium,High School,Medium,No,67.0,73.0
Male,20.0,64.0,22.0,6.0,2.5,4,5.0,Good,Low,College,Medium,No,66.0,64.0
Male,20.0,72.0,23.0,8.0,2.5,3,5.0,Good,Low,High School,Medium,No,87.0,67.0
Male,20.0,75.0,22.0,8.0,2.5,3,5.0,Good,Low,College,High,No,84.0,69.0
Female,20.0,91.0,22.0,7.0,2.5,3,5.0,Good,Medium,College,Low,No,76.0,69.0
Male,20.0,84.0,12.0,6.0,2.5,3,5.0,Good,Medium,College,Medium,No,71.0,67.0
Male,20.0,86.0,26.0,6.0,2.5,4,5.0,Good,Medium,High School,Low,No,83.0,72.0
Male,20.0,90.0,27.0,9.0,2.5,2,5.0,Good,Low,College,Low,No,52.0,86.0
Female,20.0,65.0,19.0,8.0,2.5,3,5.0,Good,Medium,High School,Low,No,54.0,62.0
Female,20.0,93.0,20.0,7.0,2.5,3,5.0,Good,Medium,Postgraduate,Medium,No,79.0,69.0
Male,20.0,88.0,11.0,7.0,2.5,3,5.0,Good,Low,Postgraduate,Medium,No,61.0,68.0
Male,20.0,83.0,23.0,4.0,2.5,3,5.0,Good,Low,High School,Medium,No,89.0,99.0
Female,20.0,96.0,23.0,7.0,2.5,3,5.0,Good,Medium,College,Low,No,89.0,70.0
Male,20.0,88.0,20.0,5.0,2.5,3,5.0,Good,Medium,High School,Medium,No,85.0,68.0
Male,20.0,68.0,27.0,7.0,2.5,4,5.0,Good,Low,High School,Medium,No,95.0,67.0
Male,20.0,77.0,18.0,9.0,2.5,2,5.0,Good,Low,Postgraduate,Low,No,57.0,66.0
Male,20.0,80.0,23.0,6.0,2.5,2,5.0,Good,Low,High School,High,No,63.0,66.0
Female,20.0,62.0,14.0,7.0,2.5,2,5.0,Good,Medium,College,Low,No,63.0,62.0
Male,20.0,98.0,20.0,8.0,2.5,2,5.0,Good,High,College,High,No,89.0,72.0
Female,20.0,65.0,19.0,7.0,2.5,3,5.0,Good,Medium,Postgraduate,Medium,No,76.0,64.0
Female,20.0,88.0,21.0,6.0,2.5,3,5.0,Good,Low,High School,Medium,No,63.0,68.0
Female,20.0,80.0,18.0,7.0,2.5,3,5.0,Good,Medium,Postgraduate,Low,No,57.0,66.0
Male,20.0,61.0,19.0,8.0,2.5,3,5.0,Good,High,College,Medium,No,95.0,68.0
Male,20.0,97.0,25.0,7.0,2.5,1,5.0,Good,High,Postgraduate,High,No,85.0,75.0
Male,20.0,94.0,17.0,7.0,2.5,3,5.0,Good,High,College,Low,No,76.0,67.0
Male,20.0,81.0,10.0,9.0,2.5,2,5.0,Good,Medium,College,Low,No,98.0,65.0
Female,20.0,69.0,30.0,8.0,2.5,3,5.0,Good,Medium,High School,Medium,No,92.0,68.0
Male,20.0,65.0,28.0,5.0,2.5,5,5.0,Good,High,High School,Low,No,59.0,67.0
Female,20.0,75.0,12.0,8.0,2.5,2,5.0,Good,High,College,Low,No,75.0,63.0
Male,20.0,70.0,24.0,8.0,2.5,3,5.0,Good,Low,High School,Medium,No,74.0,67.0
Female,20.0,80.0,17.0,5.0,2.5,4,5.0,Good,Medium,Postgraduate,Low,No,92.0,67.0
Female,20.0,99.0,22.0,4.0,2.5,3,5.0,Good,High,College,Medium,No,57.0,73.0
Male,20.0,83.0,22.0,5.0,2.5,3,5.0,Good,High,High School,Low,No,73.0,67.0
Male,20.0,96.0,19.0,7.0,2.5,4,5.0,Good,Medium,Postgraduate,High,No,82.0,71.0
Male,20.0,86.0,15.0,9.0,2.5,4,5.0,Good,Medium,High School,Medium,No,97.0,67.0
Male,20.0,79.0,16.0,6.0,2.5,5,5.0,Good,Medium,College,High,No,95.0,68.0
Male,20.0,94.0,15.0,8.0,2.5,1,5.0,Good,Medium,College,High,No,77.0,68.0
Male,20.0,79.0,15.0,4.0,2.5,4,5.0,Good,Medium,High School,High,No,80.0,66.0
Male,20.0,95.0,20.0,7.0,2.5,2,5.0,Good,Low,High School,Low,No,93.0,68.0
Female,20.0,72.0,16.0,6.0,2.5,4,5.0,Good,Medium,High School,Medium,No,87.0,63.0
Male,20.0,65.0,24.0,10.0,2.5,2,5.0,Good,Medium,Postgraduate,Medium,No,94.0,68.0
Male,20.0,94.0,29.0,4.0,2.5,5,5.0,Good,Medium,High School,Medium,No,95.0,74.0
Male,20.0,83.0,17.0,7.0,2.5,2,5.0,Good,Low,High School,Low,No,92.0,65.0
Male,20.0,96.0,21.0,4.0,2.5,2,5.0,Good,Medium,Postgraduate,Low,No,50.0,69.0
Male,20.0,98.0,23.0,6.0,2.5,1,5.0,Good,Medium,High School,Low,No,66.0,70.0
Female,20.0,62.0,23.0,4.0,2.5,2,5.0,Good,High,College,Medium,No,70.0,65.0
Male,20.0,80.0,20.0,10.0,2.5,4,5.0,Good,Medium,College,Medium,No,84.0,68.0
Male,20.0,75.0,24.0,6.0,2.5,5,5.0,Good,Medium,College,Medium,No,65.0,65.0
Male,20.0,85.0,23.0,7.0,2.5,2,5.0,Good,Low,College,High,No,66.0,68.0
Male,20.0,92.0,13.0,7.0,2.5,3,5.0,Good,Low,High School,Low,No,70.0,68.0
Male,20.0,71.0,25.0,5.0,2.5,1,5.0,Good,Low,Postgraduate,Low,No,98.0,66.0
Female,20.0,82.0,25.0,9.0,2.5,0,5.0,Good,High,College,High,No,72.0,70.0
Male,20.0,88.0,15.0,8.0,2.5,2,5.0,Good,Medium,High School,High,No,57.0,66.0
Male,20.0,65.0,20.0,8.0,2.5,5,5.0,Good,Medium,High School,Low,No,50.0,64.0
Female,20.0,93.0,24.0,5.0,2.5,1,5.0,Good,Medium,College,Low,No,62.0,70.0
Male,20.0,84.0,19.0,9.0,2.5,3,5.0,Good,Low,High School,High,No,97.0,68.0
Male,20.0,98.0,26.0,9.0,2.5,2,5.0,Good,Low,College,Low,No,98.0,74.0
Female,20.0,74.0,34.0,7.0,2.5,2,5.0,Good,Medium,College,Low,No,76.0,71.0
Male,20.0,64.0,15.0,8.0,2.5,3,5.0,Good,Low,High School,Low,No,82.0,61.0
Female,20.0,80.0,12.0,7.0,2.5,3,5.0,Good,Medium,High School,Low,No,90.0,64.0
Male,20.0,63.0,22.0,5.0,2.5,1,5.0,Good,High,Postgraduate,High,No,53.0,64.0
Male,20.0,99.0,24.0,7.0,2.5,3,5.0,Good,Medium,High School,Medium,No,69.0,73.0
Male,20.0,62.0,19.0,6.0,2.5,3,5.0,Good,Medium,College,Low,No,82.0,62.0
Male,20.0,90.0,29.0,7.0,2.5,2,5.0,Good,Medium,High School,High,No,95.0,71.0
Male,20.0,81.0,12.0,9.0,2.5,2,5.0,Good,Medium,Postgraduate,Medium,No,86.0,68.0
Male,20.0,75.0,24.0,5.0,2.5,2,5.0,Good,High,Postgraduate,Medium,No,68.0,67.0
Female,20.0,63.0,16.0,6.0,2.5,4,5.0,Good,High,College,Medium,No,95.0,63.0
Female,20.0,85.0,30.0,6.0,2.5,3,5.0,Good,Medium,College,Medium,No,83.0,71.0
Male,20.0,83.0,32.0,6.0,2.5,3,5.0,Good,Low,High School,High,No,92.0,72.0
Female,20.0,71.0,15.0,6.0,2.5,3,5.0,Good,High,Postgraduate,Medium,No,69.0,66.0
Female,20.0,96.0,17.0,7.0,2.5,4,5.0,Good,Low,High School,Medium,No,50.0,67.0
Female,20.0,72.0,25.0,8.0,2.5,4,5.0,Good,Medium,College,Low,No,58.0,66.0
Male,20.0,78.0,18.0,8.0,2.5,4,5.0,Good,Medium,College,High,No,96.0,68.0
Female,20.0,82.0,20.0,7.0,2.5,3,5.0,Good,Low,College,Medium,No,52.0,64.0
Male,20.0,64.0,20.0,8.0,2.5,3,5.0,Good,High,High School,Medium,No,80.0,65.0
Male,20.0,97.0,8.0,10.0,2.5,1,5.0,Good,High,High School,Low,No,70.0,66.0
Male,20.0,75.0,20.0,7.0,2.5,4,5.0,Good,High,College,Medium,No,71.0,69.0
Female,20.0,63.0,16.0,9.0,2.5,5,5.0,Good,Low,College,Medium,No,70.0,64.0
Female,20.0,75.0,17.0,8.0,2.5,3,5.0,Good,Medium,College,Low,No,53.0,65.0
Female,20.0,84.0,29.0,10.0,2.5,4,5.0,Good,High,Postgraduate,Low,No,56.0,72.0
Male,20.0,81.0,12.0,8.0,2.5,3,5.0,Good,Low,College,Medium,No,53.0,65.0
Female,20.0,88.0,25.0,6.0,2.5,4,5.0,Good,Medium,College,Medium,No,53.0,70.0
Male,20.0,62.0,18.0,7.0,2.5,3,5.0,Good,Medium,Postgraduate,Medium,No,54.0,64.0
Male,20.0,71.0,18.0,7.0,2.5,2,5.0,Good,Low,High School,Low,No,85.0,62.0
Male,20.0,93.0,25.0,8.0,2.5,3,5.0,Good,High,High School,Low,No,56.0,69.0
Male,20.0,63.0,22.0,6.0,2.5,2,5.0,Good,Low,Postgraduate,Medium,No,63.0,62.0
Female,20.0,94.0,23.0,9.0,2.5,2,5.0,Good,Medium,High School,Low,No,83.0,69.0
Male,20.0,64.0,26.0,7.0,2.5,3,5.0,Good,Medium,High School,Medium,No,56.0,66.0
Female,20.0,93.0,18.0,8.0,2.5,2,5.0,Good,Medium,High School,Medium,No,96.0,71.0
Male,20.0,74.0,16.0,7.0,2.5,3,5.0,Good,Low,High School,Low,No,74.0,66.0
Male,20.0,84.0,13.0,7.0,2.5,4,5.0,Good,Medium,High School,Low,No,98.0,64.0
Female,20.0,66.0,15.0,7.0,2.5,3,5.0,Good,High,High School,High,No,60.0,63.0
Male,20.0,63.0,38.0,8.0,2.5,3,5.0,Good,High,College,Medium,No,52.0,69.0
Female,20.0,69.0,27.0,10.0,2.5,4,5.0,Good,Medium,High School,Medium,No,80.0,68.0
Female,20.0,65.0,12.0,4.0,2.5,2,5.0,Good,Medium,High School,Medium,No,66.0,63.0
Male,20.0,72.0,12.0,8.0,2.5,3,5.0,Good,High,College,High,No,79.0,64.0
Female,20.0,81.0,23.0,7.0,2.5,0,5.0,Good,Medium,Postgraduate,Low,No,74.0,66.0
Male,20.0,84.0,23.0,7.0,2.5,4,5.0,Good,Medium,High School,High,No,73.0,71.0
Female,20.0,92.0,23.0,4.0,2.5,4,5.0,Good,High,High School,High,No,93.0,72.0
Male,20.0,86.0,18.0,8.0,2.5,1,5.0,Good,Medium,College,Low,No,60.0,88.0
Male,20.0,84.0,19.0,7.0,2.5,2,5.0,Good,Low,College,Low,No,75.0,66.0
Male,20.0,76.0,22.0,6.0,2.5,2,5.0,Good,Medium,High School,Low,No,71.0,65.0
Male,20.0,79.0,21.0,7.0,2.5,3,5.0,Good,Low,High School,Medium,No,84.0,66.0
Female,20.0,77.0,7.0,7.0,2.5,2,5.0,Good,High,College,Low,No,53.0,62.0
Female,20.0,94.0,19.0,4.0,2.5,3,5.0,Good,Medium,High School,Low,No,76.0,68.0
Female,20.0,69.0,15.0,7.0,2.5,5,5.0,Good,High,Postgraduate,Low,No,74.0,65.0
Male,20.0,60.0,21.0,8.0,2.5,3,5.0,Good,Low,High School,Low,No,99.0,62.0
Female,20.0,86.0,38.0,6.0,2.5,4,5.0,Good,High,High School,Low,No,88.0,74.0
Male,20.0,68.0,22.0,7.0,2.5,3,5.0,Good,Medium,Postgraduate,Medium,No,58.0,64.0
Male,20.0,96.0,18.0,7.0,2.5,2,5.0,Good,High,High School,Medium,No,75.0,72.0
Female,20.0,94.0,26.0,9.0,2.5,3,5.0,Good,Medium,High School,Low,No,89.0,70.0
Male,20.0,63.0,23.0,7.0,2.5,1,5.0,Good,Medium,High School,Medium,No,76.0,65.0
Female,20.0,64.0,23.0,8.0,2.5,3,5.0,Good,Low,High School,Low,No,68.0,66.0
Male,20.0,80.0,24.0,7.0,2.5,3,5.0,Good,Low,College,Medium,No,69.0,67.0
Male,20.0,84.0,32.0,10.0,2.5,5,5.0,Good,Medium,High School,Low,No,68.0,73.0
Female,20.0,71.0,13.0,6.0,2.5,4,5.0,Good,Low,College,High,No,51.0,65.0
Female,20.0,89.0,23.0,6.0,2.5,3,5.0,Good,Medium,College,Medium,No,87.0,74.0
Female,20.0,84.0,14.0,7.0,2.5,2,5.0,Good,Medium,College,High,No,81.0,66.0
Male,20.0,73.0,23.0,6.0,2.5,3,5.0,Good,Medium,High School,High,No,63.0,67.0
Female,20.0,61.0,14.0,5.0,2.5,0,5.0,Good,Low,High School,Low,No,82.0,58.0
Male,20.0,90.0,17.0,8.0,2.5,3,5.0,Good,Medium,Postgraduate,Low,No,65.0,71.0
Male,20.0,69.0,18.0,4.0,2.5,3,5.0,Good,High,High School,Medium,No,62.0,63.0
Female,20.0,93.0,26.0,6.0,2.5,3,5.0,Good,Medium,College,Medium,No,87.0,73.0
Female,20.0,77.0,26.0,5.0,2.5,2,5.0,Good,Medium,High School,Medium,No,90.0,68.0
Female,20.0,83.0,13.0,7.0,2.5,5,5.0,Good,Medium,College,Low,No,81.0,66.0
Male,20.0,95.0,20.0,4.0,2.5,3,5.0,Good,Medium,High School,Low,No,89.0,68.0
Female,20.0,95.0,16.0,8.0,2.5,4,5.0,Good,Low,High School,Medium,No,68.0,66.0
Female,20.0,75.0,12.0,8.0,2.5,3,5.0,Good,Low,High School,Medium,No,54.0,62.0
Male,20.0,68.0,19.0,5.0,2.5,3,5.0,Good,Medium,High School,Medium,No,80.0,78.0
Male,20.0,91.0,18.0,7.0,2.5,4,5.0,Good,Medium,College,Medium,No,63.0,68.0
Female,20.0,77.0,35.0,8.0,2.5,4,5.0,Good,Medium,College,High,No,89.0,77.0
Male,20.0,68.0,23.0,8.0,2.5,2,5.0,Good,Medium,College,Medium,No,68.0,65.0
Female,20.0,96.0,12.0,5.0,2.5,4,5.0,Good,Low,Postgraduate,High,No,84.0,73.0
Male,20.0,68.0,17.0,5.0,2.5,2,5.0,Good,Medium,College,Low,No,78.0,64.0
Female,20.0,61.0,26.0,9.0,2.5,4,5.0,Good,Medium,College,High,No,91.0,67.0
Female,20.0,61.0,33.0,6.0,2.5,4,5.0,Good,Medium,High School,Medium,No,92.0,69.0
Male,20.0,85.0,10.0,6.0,2.5,3,5.0,Good,High,High School,Low,No,53.0,60.0
Female,20.0,86.0,9.0,8.0,2.5,3,5.0,Good,High,College,Medium,No,65.0,66.0
Male,20.0,72.0,31.0,5.0,2.5,2,5.0,Good,High,High School,Low,No,94.0,70.0
Male,20.0,73.0,22.0,7.0,2.5,3,5.0,Good,Low,College,Low,No,70.0,66.0
Male,20.0,74.0,15.0,8.0,2.5,4,5.0,Good,Medium,High School,Medium,No,76.0,64.0
Male,20.0,87.0,23.0,5.0,2.5,4,5.0,Good,Medium,College,High,No,59.0,70.0
Female,20.0,62.0,4.0,6.0,2.5,2,5.0,Good,High,High School,High,No,78.0,58.0
Female,20.0,97.0,20.0,5.0,2.5,3,5.0,Good,Medium,College,Low,No,63.0,69.0
Male,20.0,69.0,22.0,6.0,2.5,1,5.0,Good,Low,High School,High,No,91.0,64.0
Male,20.0,100.0,26.0,9.0,2.5,4,5.0,Good,Medium,High School,Medium,No,60.0,72.0
Male,20.0,67.0,14.0,9.0,2.5,3,5.0,Good,Low,High School,Low,No,68.0,60.0
Female,20.0,91.0,21.0,7.0,2.5,3,5.0,Good,High,High School,High,No,55.0,70.0
Female,20.0,69.0,14.0,8.0,2.5,1,5.0,Good,Medium,Postgraduate,High,No,79.0,62.0
Female,20.0,63.0,22.0,8.0,2.5,3,5.0,Good,Medium,High School,High,No,97.0,66.0
Female,20.0,95.0,15.0,6.0,2.5,5,5.0,Good,Low,High School,Medium,No,59.0,66.0
Male,20.0,94.0,18.0,7.0,2.5,3,5.0,Good,Medium,College,Low,No,51.0,65.0
Male,20.0,76.0,14.0,5.0,2.5,3,5.0,Good,Medium,High School,Low,No,71.0,64.0
Female,20.0,88.0,24.0,6.0,2.5,3,5.0,Good,Medium,High School,High,No,87.0,72.0
Female,20.0,82.0,25.0,7.0,2.5,2,5.0,Good,High,High School,Low,No,99.0,71.0
Female,20.0,94.0,19.0,5.0,2.5,3,5.0,Good,Medium,High School,Medium,No,53.0,68.0
Female,20.0,73.0,20.0,5.0,2.5,5,5.0,Good,Medium,High School,Medium,No,89.0,68.0
Female,20.0,81.0,11.0,6.0,2.5,3,5.0,Good,High,Postgraduate,High,No,68.0,64.0
Female,20.0,79.0,18.0,9.0,2.5,3,5.0,Good,Medium,High School,Medium,No,58.0,65.0
Female,20.0,74.0,20.0,9.0,2.5,3,5.0,Good,Medium,High School,Low,No,60.0,64.0
Female,20.0,96.0,36.0,7.0,2.5,3,5.0,Good,Medium,College,Low,No,96.0,75.0
Male,20.0,67.0,13.0,8.0,2.5,2,5.0,Good,Medium,High School,Low,No,90.0,61.0
Male,20.0,66.0,29.0,6.0,2.5,3,5.0,Good,Medium,Postgraduate,Medium,No,66.0,68.0
Male,20.0,83.0,26.0,4.0,2.5,4,5.0,Good,Low,College,Low,No,97.0,70.0
Female,20.0,86.0,22.0,6.0,2.5,3,5.0,Good,Medium,Postgraduate,High,No,55.0,71.0
Male,20.0,68.0,31.0,7.0,2.5,3,5.0,Good,Low,High School,Low,No,66.0,66.0
Male,20.0,76.0,22.0,7.0,2.5,1,5.0,Good,Low,College,Low,No,83.0,66.0
Male,20.0,98.0,22.0,7.0,2.5,3,5.0,Good,Low,High School,Low,No,100.0,70.0
Female,20.0,70.0,20.0,7.0,2.5,5,5.0,Good,Medium,High School,Low,No,73.0,62.0
Male,20.0,87.0,27.0,6.0,2.5,4,5.0,Good,Low,High School,High,No,91.0,72.0
Male,20.0,90.0,27.0,8.0,2.5,4,5.0,Good,High,High School,Medium,No,96.0,72.0
Male,20.0,78.0,16.0,5.0,2.5,2,5.0,Good,Medium,College,Low,No,50.0,63.0
Female,20.0,98.0,12.0,8.0,2.5,5,5.0,Good,Medium,College,Low,No,64.0,69.0
Male,20.0,89.0,19.0,6.0,2.5,2,5.0,Good,Medium,Postgraduate,Medium,No,55.0,68.0
Male,20.0,78.0,15.0,10.0,2.5,3,5.0,Good,Low,High School,Medium,No,89.0,67.0
Female,20.0,83.0,20.0,7.0,2.5,2,5.0,Good,High,College,Low,No,78.0,71.0
Male,20.0,88.0,27.0,6.0,2.5,5,5.0,Good,Low,High School,Low,No,55.0,67.0
Male,20.0,84.0,17.0,6.0,2.5,4,5.0,Good,Low,High School,Medium,No,71.0,62.0
